"VideoURL";"Speaker";"AvailableSubtitlesCount";"Duraton";"TimeFilmed";"TalkViewsCount";"TalkCommentsCount"
"https://www.ted.com/talks/ryan_gravel_how_an_old_loop_of_railroads_is_changing_the_face_of_a_city";"Ryan Gravel";"20";"11:26";"Oct 2016";"802,276";"13"
"https://www.ted.com/talks/sandi_toksvig_a_political_party_for_women_s_equality";"Sandi Toksvig";"21";"19:48";"Oct 2016";"773,144";"72"
"https://www.ted.com/talks/sandra_fisher_martins_the_right_to_understand";"Sandra Fisher-Martins";"13";"15:42";"Mar 2011";"284,791";"89"
"https://www.ted.com/talks/sangu_delle_there_s_no_shame_in_taking_care_of_your_mental_health";"Sangu Delle";"8";" 9:06";"Feb 2017";"764,489";"25"
"https://www.ted.com/talks/sara_ramirez_and_michael_pemberton_rollercoaster";"Sara Ramirez

Michael Pemberton";"23";" 4:59";"Nov 2015";"638,391";"11"
"https://www.ted.com/talks/sarah_kay_how_many_lives_can_you_live";"Sarah Kay";"9";"12:15";"May 2011";"589,832";"184"
"https://www.ted.com/talks/sasa_vucinic_invests_in_free_press";"Sasa Vucinic";"21";"18:00";"Jul 2005";"571,979";"42"
"https://www.ted.com/talks/sean_follmer_shape_shifting_tech_will_change_work_as_we_know_it";"Sean Follmer";"22";" 9:22";"Oct 2015";"1,375,914";"58"
"https://www.ted.com/talks/sebastian_bortnik_the_conversation_we_re_not_having_about_digital_child_abuse";"Sebastián Bortnik";"5";"13:45";"Oct 2016";"330,100";"22"
"https://www.ted.com/talks/sebastian_wernicke_how_to_use_data_to_make_a_hit_tv_show";"Sebastian Wernicke";"25";"12:25";"Jun 2015";"1,434,892";"45"
"https://www.ted.com/talks/serena_williams_gayle_king_on_tennis_love_and_motherhood";"Serena Williams

Gayle King";"3";"18:28";"Apr 2017";"718,754";"22"
"https://www.ted.com/talks/shah_rukh_khan_thoughts_on_humanity_fame_and_love";"Shah Rukh Khan";"5";"17:51";"Apr 2017";"2,903,159";"93"
"https://www.ted.com/talks/shonda_rhimes_my_year_of_saying_yes_to_everything";"Shonda Rhimes";"28";"18:44";"Feb 2016";"2,943,289";"137"
"https://www.ted.com/talks/siamak_hariri_how_do_you_build_a_sacred_space";"Siamak Hariri";"9";"12:46";"Mar 2017";"709,496";"22"
"https://www.ted.com/talks/siddhartha_roy_science_in_service_to_the_public_good";"Siddhartha Roy";"4";"14:33";"Nov 2016";"517,874";"22"
"https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues";"Silk Road Ensemble

Rhiannon Giddens";"24";" 8:43";"Feb 2016";"784,004";"5"
"https://www.ted.com/talks/simon_anholt_how_would_the_rest_of_the_world_vote_in_your_country_s_election";"Simon Anholt";"10";"14:55";"Nov 2016";"681,596";"82"
"https://www.ted.com/talks/srdja_popovic_how_to_topple_a_dictator";"Srdja Popovic";"25";"12:02";"Nov 2011";"265,362";"90"
"https://www.ted.com/talks/stacy_smith_the_data_behind_hollywood_s_sexism";"Stacy Smith";"12";"15:44";"Oct 2016";"793,337";"99"
"https://www.ted.com/talks/stefon_harris_there_are_no_mistakes_on_the_bandstand";"Stefon Harris";"30";"13:11";"Nov 2011";"641,239";"113"
